"","A_chr","A_start","A_end","A_peak","C_chr","C_start","C_end","C_peak","overlap"
"768","chr13",110563977,110564340,"union_peak_15741","chr13",110563999,110564534,"union_peak_9729",341
"769","chr2",12709161,12709542,"union_peak_28504","chr2",12709032,12709451,"union_peak_17737",290
"770","chr2",173063316,173063563,"union_peak_32230","chr2",173063432,173063749,"union_peak_20021",131
"771","chr11",79871869,79872157,"union_peak_9143","chr11",79871683,79871965,"union_peak_5706",96
"772","chr9",116249794,116250198,"union_peak_53451","chr9",116249687,116250331,"union_peak_33319",404
"773","chr2",150830866,150831434,"union_peak_31299","chr2",150830947,150831301,"union_peak_19533",354
"774","chr11",52089084,52089728,"union_peak_7814","chr11",52089380,52090063,"union_peak_4918",348
"775","chr2",92204187,92204554,"union_peak_30307","chr2",92204352,92205856,"union_peak_18902",202
"776","chr9",56448944,56449313,"union_peak_51826","chr9",56449041,56449447,"union_peak_32276",272
"777","chr15",61154224,61154567,"union_peak_18771","chr15",61154482,61154756,"union_peak_11690",85
"778","chr6",7940280,7940780,"union_peak_41683","chr6",7940252,7941458,"union_peak_26028",500
"779","chr2",112222639,112223176,"union_peak_30532","chr2",112222442,112223224,"union_peak_19038",537
"780","chr3",19419901,19420445,"union_peak_32566","chr3",19420284,19420592,"union_peak_20230",161
"781","chr7",81074565,81075926,"union_peak_46502","chr7",81074460,81076042,"union_peak_29100",1361
"782","chr8",69937448,69937924,"union_peak_48909","chr8",69937349,69937684,"union_peak_30560",236
"783","chr11",78766172,78766839,"union_peak_9038","chr11",78766091,78767296,"union_peak_5652",667
"784","chr4",136189605,136190435,"union_peak_37565","chr4",136189454,136190565,"union_peak_23474",830
"785","chr6",37713910,37714801,"union_peak_42048","chr6",37713707,37714746,"union_peak_26265",836
"786","chr16",58498181,58498934,"union_peak_21734","chr16",58497947,58499144,"union_peak_13495",753
"787","chr9",94691389,94692406,"union_peak_52818","chr9",94691359,94692517,"union_peak_32893",1017
"788","chr15",67289703,67290339,"union_peak_18982","chr15",67289567,67290523,"union_peak_11825",636
"789","chr15",66854626,66855321,"union_peak_18952","chr15",66854577,66855405,"union_peak_11803",695
"790","chr12",12263357,12264575,"union_peak_11421","chr12",12263326,12264849,"union_peak_7066",1218
"791","chr17",79347522,79348544,"union_peak_24555","chr17",79347539,79348673,"union_peak_15298",1005
"792","chr17",83823619,83824310,"union_peak_24676","chr17",83823707,83824570,"union_peak_15386",603
"793","chr17",29550828,29551403,"union_peak_23167","chr17",29550701,29552986,"union_peak_14418",575
"794","chr12",21459557,21460117,"union_peak_11593","chr12",21459532,21460289,"union_peak_7167",560
"795","chr12",16133268,16133851,"union_peak_11476","chr12",16132767,16134655,"union_peak_7095",583
"796","chr10",40400211,40400954,"union_peak_4432","chr10",40399615,40401062,"union_peak_2778",743
"797","chrX",50564988,50565614,"union_peak_54249","chrX",50564839,50565723,"union_peak_33830",626
"798","chr6",126811388,126812088,"union_peak_43980","chr6",126811143,126812238,"union_peak_27471",700
"799","chr13",85509682,85510061,"union_peak_15271","chr13",85509412,85510097,"union_peak_9413",379
"800","chr5",64780649,64781308,"union_peak_39181","chr5",64780055,64781841,"union_peak_24478",659
"801","chr10",98744012,98744658,"union_peak_6025","chr10",98743929,98744939,"union_peak_3779",646
"802","chr4",86739156,86739741,"union_peak_36148","chr4",86739006,86740671,"union_peak_22588",585
"803","chr17",87365112,87365727,"union_peak_24862","chr17",87365112,87365904,"union_peak_15508",615
"804","chr2",27487060,27487870,"union_peak_28854","chr2",27487378,27487906,"union_peak_17973",492
"805","chr6",97321106,97321547,"union_peak_43286","chr6",97320970,97322533,"union_peak_27025",441
"806","chr11",5429452,5430243,"union_peak_6923","chr11",5429528,5430378,"union_peak_4360",715
"807","chr16",64836084,64836915,"union_peak_21797","chr16",64835793,64836751,"union_peak_13548",667
"808","chr17",46879746,46880587,"union_peak_23909","chr17",46879664,46880529,"union_peak_14881",783
"809","chr5",124633499,124633775,"union_peak_40782","chr5",124633299,124634007,"union_peak_25507",276
"810","chr12",33129404,33129834,"union_peak_11801","chr12",33129329,33129781,"union_peak_7285",377
"811","chr5",64389621,64390278,"union_peak_39144","chr5",64389707,64390380,"union_peak_24451",571
"812","chr1",166016247,166016915,"union_peak_2900","chr1",166016091,166017340,"union_peak_1813",668
"813","chr6",143868001,143868622,"union_peak_44439","chr6",143867870,143868804,"union_peak_27801",621
"814","chr8",121668513,121669481,"union_peak_50298","chr8",121668584,121669615,"union_peak_31371",897
"815","chr10",8065599,8066193,"union_peak_3736","chr10",8065379,8066646,"union_peak_2325",594
"816","chr8",81703566,81704284,"union_peak_49243","chr8",81703221,81704484,"union_peak_30757",718
"817","chr1",170147586,170148227,"union_peak_2938","chr1",170147297,170148239,"union_peak_1835",641
"818","chr18",62156404,62157008,"union_peak_25849","chr18",62156263,62156953,"union_peak_16089",549
"819","chr14",27412681,27413079,"union_peak_16353","chr14",27411464,27413434,"union_peak_10134",398
"820","chrX",57253335,57254121,"union_peak_54331","chrX",57253299,57254089,"union_peak_33892",754
"821","chr10",54117715,54118168,"union_peak_4676","chr10",54117398,54118577,"union_peak_2926",453
"822","chr13",4771382,4771915,"union_peak_13645","chr13",4771212,4771587,"union_peak_8410",205
"823","chr9",94993593,94994028,"union_peak_52823","chr9",94993403,94994255,"union_peak_32897",435
"824","chr19",58104490,58104990,"union_peak_28152","chr19",58104395,58105156,"union_peak_17515",500
"825","chr19",46733491,46734035,"union_peak_27872","chr19",46733571,46734193,"union_peak_17341",464
"826","chr9",79815944,79816680,"union_peak_52638","chr9",79815841,79816998,"union_peak_32772",736
"827","chr16",19984899,19985415,"union_peak_20817","chr16",19984673,19985565,"union_peak_12906",516
"828","chr12",100508501,100509202,"union_peak_12920","chr12",100508332,100509179,"union_peak_7988",678
"829","chr4",141863738,141864095,"union_peak_37815","chr4",141863682,141864220,"union_peak_23592",357
"830","chr1",80389408,80390070,"union_peak_1230","chr1",80388916,80389951,"union_peak_796",543
"831","chr6",42354339,42354602,"union_peak_42203","chr6",42354560,42354870,"union_peak_26364",42
"832","chr14",76001737,76002250,"union_peak_17490","chr14",76002027,76002417,"union_peak_10852",223
"833","chr15",97420283,97420727,"union_peak_20008","chr15",97420184,97420930,"union_peak_12433",444
"834","chr10",111635328,111636613,"union_peak_6180","chr10",111636581,111637175,"union_peak_3873",32
"835","chr14",27242748,27243060,"union_peak_16326","chr14",27242947,27243238,"union_peak_10114",113
"836","chr19",41916879,41917268,"union_peak_27649","chr19",41917060,41917473,"union_peak_17222",208
"837","chr1",143319331,143320078,"union_peak_2379","chr1",143319405,143319891,"union_peak_1464",486
"838","chr6",54936421,54937503,"union_peak_42547","chr6",54935963,54937317,"union_peak_26558",896
"839","chr13",101711345,101711731,"union_peak_15593","chr13",101711143,101711882,"union_peak_9631",386
"840","chr2",168561903,168562412,"union_peak_32129","chr2",168562010,168562473,"union_peak_19960",402
"841","chr2",112714443,112715022,"union_peak_30544","chr2",112714290,112715526,"union_peak_19051",579
"842","chr14",25559821,25560498,"union_peak_16263","chr14",25559761,25560585,"union_peak_10070",677
"843","chr2",35422348,35422884,"union_peak_29332","chr2",35422148,35422982,"union_peak_18255",536
"844","chr5",72182568,72183217,"union_peak_39359","chr5",72182585,72183212,"union_peak_24604",627
"845","chr5",72204425,72204865,"union_peak_39362","chr5",72202184,72205412,"union_peak_24605",440
"846","chr16",59459120,59459931,"union_peak_21763","chr16",59459077,59459893,"union_peak_13520",773
"847","chr5",140575416,140576125,"union_peak_41259","chr5",140575318,140576578,"union_peak_25776",709
"848","chr16",87497056,87497455,"union_peak_21915","chr16",87497189,87497859,"union_peak_13649",266
"849","chr11",64113450,64113752,"union_peak_8366","chr11",64113552,64114050,"union_peak_5258",200
"850","chr5",107177220,107178118,"union_peak_39917","chr5",107176812,107178120,"union_peak_24978",898
"851","chr6",28588584,28589222,"union_peak_41818","chr6",28588513,28589401,"union_peak_26132",638
"852","chr12",114909784,114910265,"union_peak_13501","chr12",114909530,114910448,"union_peak_8309",481
"853","chr16",11501077,11501496,"union_peak_20636","chr16",11500840,11501739,"union_peak_12801",419
"854","chr9",35495227,35496050,"union_peak_51217","chr9",35495337,35496165,"union_peak_31933",713
"855","chr12",25164667,25165171,"union_peak_11644","chr12",25164125,25165494,"union_peak_7193",504
"856","chr5",144919428,144920228,"union_peak_41431","chr5",144919489,144920348,"union_peak_25869",739
"857","chr11",113788345,113788929,"union_peak_10681","chr11",113787414,113789008,"union_peak_6626",584
"858","chr8",81701947,81702567,"union_peak_49242","chr8",81701776,81702688,"union_peak_30756",620
"859","chr2",168007221,168007620,"union_peak_32091","chr2",168007060,168007704,"union_peak_19939",399
"860","chr19",59248372,59249139,"union_peak_28164","chr19",59248309,59249098,"union_peak_17524",726
"861","chr11",117027486,117028163,"union_peak_10898","chr11",117027454,117028123,"union_peak_6761",637
"862","chr15",99153439,99153890,"union_peak_20137","chr15",99153300,99155381,"union_peak_12513",451
"863","chr9",96369542,96370270,"union_peak_52858","chr9",96369509,96370574,"union_peak_32929",728
"864","chr2",168516599,168517183,"union_peak_32124","chr2",168516540,168517154,"union_peak_19956",555
"865","chr7",29023452,29024018,"union_peak_45305","chr7",29023488,29024058,"union_peak_28350",530
"866","chr8",121994768,121995518,"union_peak_50317","chr8",121994708,121995233,"union_peak_31381",465
"867","chr4",132041568,132042035,"union_peak_37157","chr4",132041283,132042077,"union_peak_23205",467
"868","chr15",5414324,5414927,"union_peak_18026","chr15",5413983,5414742,"union_peak_11190",418
"869","chr5",137705258,137705608,"union_peak_41133","chr5",137704973,137705709,"union_peak_25707",350
"870","chr13",5778526,5779856,"union_peak_13653","chr13",5778398,5780394,"union_peak_8419",1330
"871","chr3",90357842,90358415,"union_peak_33667","chr3",90357807,90358405,"union_peak_20943",563
"872","chr6",99985219,99985849,"union_peak_43394","chr6",99984876,99986124,"union_peak_27097",630
"873","chr7",79422657,79423460,"union_peak_46363","chr7",79422536,79423555,"union_peak_29017",803
"874","chr5",21414541,21414722,"union_peak_38428","chr5",21414362,21414884,"union_peak_24053",181
"875","chr7",117486223,117487105,"union_peak_47222","chr7",117485941,117487145,"union_peak_29524",882
"876","chr4",114652355,114653339,"union_peak_36576","chr4",114652172,114653347,"union_peak_22867",984
"877","chr3",79194148,79194836,"union_peak_33288","chr3",79193800,79194752,"union_peak_20710",604
"878","chr18",65695353,65695863,"union_peak_25922","chr18",65695393,65695877,"union_peak_16130",470
"879","chr1",151613166,151613624,"union_peak_2449","chr1",151613074,151613576,"union_peak_1522",410
"880","chr19",58097259,58097787,"union_peak_28151","chr19",58097053,58097769,"union_peak_17514",510
"881","chr11",97710976,97711657,"union_peak_9870","chr11",97710981,97711673,"union_peak_6145",676
"882","chr15",97520258,97521144,"union_peak_20018","chr15",97520122,97521137,"union_peak_12442",879
"883","chr5",104958070,104958695,"union_peak_39827","chr5",104957777,104958762,"union_peak_24916",625
"884","chr9",110734068,110734615,"union_peak_53303","chr9",110733822,110734602,"union_peak_33216",534
"885","chr5",64438306,64438900,"union_peak_39147","chr5",64438385,64439044,"union_peak_24453",515
"886","chr4",32160860,32161087,"union_peak_35409","chr4",32160896,32161207,"union_peak_22099",191
"887","chr9",121677049,121677366,"union_peak_53658","chr9",121676761,121677175,"union_peak_33424",126
"888","chr16",35054860,35055778,"union_peak_21258","chr16",35055129,35055677,"union_peak_13166",548
"889","chr13",63885774,63887114,"union_peak_15048","chr13",63886171,63887274,"union_peak_9251",943
"890","chr2",19621844,19622569,"union_peak_28637","chr2",19621975,19623015,"union_peak_17836",594
"891","chr9",45241357,45241881,"union_peak_51535","chr9",45241218,45242024,"union_peak_32132",524
"892","chr7",78854025,78854519,"union_peak_46335","chr7",78853667,78854637,"union_peak_29001",494
"893","chr14",27230803,27230999,"union_peak_16322","chr14",27230050,27231186,"union_peak_10111",196
"894","chr7",44950089,44950649,"union_peak_45654","chr7",44949983,44950753,"union_peak_28564",560
"895","chr9",123151702,123152506,"union_peak_53728","chr9",123151799,123152736,"union_peak_33465",707
"896","chr17",6420435,6421001,"union_peak_22376","chr17",6420818,6421058,"union_peak_13935",183
"897","chr9",73071028,73071499,"union_peak_52518","chr9",73071121,73071544,"union_peak_32692",378
"898","chr11",32445530,32446076,"union_peak_7362","chr11",32445120,32446546,"union_peak_4647",546
"899","chr14",120525566,120526064,"union_peak_17824","chr14",120525565,120526294,"union_peak_11067",498
"900","chrX",102060839,102061300,"union_peak_54642","chrX",102060826,102061506,"union_peak_34063",461
"901","chr6",87399282,87400432,"union_peak_43064","chr6",87398954,87400352,"union_peak_26910",1070
"902","chr5",140636641,140637097,"union_peak_41267","chr5",140636485,140637307,"union_peak_25782",456
"903","chr9",42038873,42039360,"union_peak_51343","chr9",42038757,42039452,"union_peak_32006",487
"904","chr13",95684556,95685084,"union_peak_15430","chr13",95684356,95686409,"union_peak_9508",528
"905","chr15",55844660,55845086,"union_peak_18625","chr15",55844681,55845239,"union_peak_11589",405
"906","chr2",92464724,92465214,"union_peak_30323","chr2",92464593,92465291,"union_peak_18911",490
"907","chr12",25208375,25209205,"union_peak_11650","chr12",25208498,25208999,"union_peak_7196",501
"908","chr9",50905341,50905849,"union_peak_51671","chr9",50904042,50905776,"union_peak_32203",435
"909","chr17",47600090,47600281,"union_peak_23966","chr17",47599974,47601367,"union_peak_14917",191
"910","chr3",86196190,86196988,"union_peak_33406","chr3",86196280,86197377,"union_peak_20790",708
"911","chr15",9622744,9623533,"union_peak_18136","chr15",9622723,9623398,"union_peak_11262",654
"912","chr10",128503948,128504206,"union_peak_6700","chr10",128503726,128505486,"union_peak_4213",258
"913","chr6",97322221,97322458,"union_peak_43287","chr6",97320970,97322533,"union_peak_27025",237
"914","chr6",120528693,120529357,"union_peak_43785","chr6",120528794,120529632,"union_peak_27337",563
"915","chr6",37723241,37723838,"union_peak_42049","chr6",37723211,37723968,"union_peak_26266",597
"916","chr16",94239546,94239848,"union_peak_22152","chr16",94239170,94240037,"union_peak_13799",302
"917","chr9",88709445,88710258,"union_peak_52748","chr9",88709236,88710084,"union_peak_32855",639
"918","chr6",71981437,71981745,"union_peak_42773","chr6",71980000,71981589,"union_peak_26725",152
"919","chr2",155562709,155563460,"union_peak_31515","chr2",155562669,155563250,"union_peak_19643",541
"920","chr4",89212205,89212802,"union_peak_36238","chr4",89211892,89213119,"union_peak_22649",597
"921","chr5",144972659,144973244,"union_peak_41436","chr5",144972840,144973177,"union_peak_25874",337
"922","chr3",104784228,104784400,"union_peak_34164","chr3",104784399,104784677,"union_peak_21272",1
"923","chr7",132804912,132805286,"union_peak_47746","chr7",132804721,132805376,"union_peak_29880",374
"924","chr9",106192852,106193585,"union_peak_53059","chr9",106192905,106193453,"union_peak_33055",548
"925","chr10",118001847,118002394,"union_peak_6339","chr10",118001586,118002437,"union_peak_3971",547
"926","chr8",46782013,46782712,"union_peak_48725","chr8",46782206,46782789,"union_peak_30447",506
"927","chr2",103651922,103652748,"union_peak_30456","chr2",103651795,103652992,"union_peak_18991",826
"928","chr6",35373749,35374542,"union_peak_42025","chr6",35373894,35374414,"union_peak_26253",520
"929","chr9",32798113,32798699,"union_peak_51167","chr9",32798096,32798599,"union_peak_31900",486
"930","chr16",55630799,55631550,"union_peak_21659","chr16",55630777,55631753,"union_peak_13437",751
"931","chr15",12423962,12424684,"union_peak_18203","chr15",12424046,12424781,"union_peak_11308",638
"932","chr5",113985843,113986841,"union_peak_40207","chr5",113986127,113986934,"union_peak_25149",714
"933","chr9",53328248,53328824,"union_peak_51708","chr9",53328260,53328690,"union_peak_32218",430
"934","chr7",123210159,123210902,"union_peak_47372","chr7",123210229,123210845,"union_peak_29622",616
"935","chr2",155572921,155573511,"union_peak_31517","chr2",155572926,155573259,"union_peak_19644",333
"936","chr12",114936891,114937368,"union_peak_13505","chr12",114936793,114937582,"union_peak_8312",477
"937","chrX",164245821,164246228,"union_peak_55052","chrX",164245726,164246992,"union_peak_34304",407
"938","chr6",120488788,120489092,"union_peak_43783","chr6",120488516,120489257,"union_peak_27335",304
"939","chr16",94383283,94383869,"union_peak_22165","chr16",94383156,94383836,"union_peak_13809",553
"940","chr9",123594691,123595357,"union_peak_53749","chr9",123594565,123595371,"union_peak_33478",666
"941","chr5",23894020,23894693,"union_peak_38492","chr5",23893785,23894558,"union_peak_24091",538
"942","chr1",88564913,88565302,"union_peak_1515","chr1",88565093,88565629,"union_peak_948",209
"943","chr3",37758078,37758533,"union_peak_32806","chr3",37757895,37758730,"union_peak_20392",455
"944","chr15",73743228,73743923,"union_peak_19048","chr15",73743398,73743803,"union_peak_11868",405
"945","chr7",139224282,139225200,"union_peak_47812","chr7",139224772,139225314,"union_peak_29919",428
"946","chr2",5367215,5367924,"union_peak_28292","chr2",5367211,5367949,"union_peak_17606",709
"947","chr19",46735434,46735772,"union_peak_27873","chr19",46735136,46735780,"union_peak_17342",338
"948","chr2",131321118,131321634,"union_peak_31071","chr2",131320996,131321881,"union_peak_19394",516
"949","chr2",29388536,29389256,"union_peak_28919","chr2",29388626,29389102,"union_peak_18004",476
"950","chr9",21274872,21275294,"union_peak_50941","chr9",21274584,21275207,"union_peak_31763",335
"951","chr11",54193746,54194506,"union_peak_7937","chr11",54193620,54194242,"union_peak_4994",496
"952","chr11",116949802,116950357,"union_peak_10895","chr11",116949749,116950145,"union_peak_6759",343
"953","chr1",92265367,92265987,"union_peak_1639","chr1",92265554,92265992,"union_peak_1020",433
"954","chr15",102393485,102394071,"union_peak_20349","chr15",102393480,102394011,"union_peak_12643",526
"955","chr11",51938673,51939288,"union_peak_7798","chr11",51938330,51939271,"union_peak_4904",598
"956","chr2",36000077,36000668,"union_peak_29350","chr2",36000151,36000808,"union_peak_18271",517
"957","chr6",65613984,65614346,"union_peak_42650","chr6",65613883,65614317,"union_peak_26629",333
"958","chr6",103339725,103340471,"union_peak_43424","chr6",103339740,103340680,"union_peak_27116",731
"959","chr14",23465039,23465602,"union_peak_16221","chr14",23464856,23465700,"union_peak_10048",563
"960","chr3",115884948,115885147,"union_peak_34401","chr3",115884857,115885404,"union_peak_21423",199
"961","chr10",85138214,85138541,"union_peak_5689","chr10",85138058,85138560,"union_peak_3532",327
"962","chr1",54914428,54914734,"union_peak_762","chr1",54913424,54915030,"union_peak_491",306
"963","chr14",103077708,103078486,"union_peak_17682","chr14",103077657,103078220,"union_peak_10981",512
"964","chr15",67234852,67235671,"union_peak_18981","chr15",67234868,67235776,"union_peak_11824",803
"965","chr15",52565388,52565947,"union_peak_18582","chr15",52565339,52566028,"union_peak_11552",559
"966","chr3",52567536,52567845,"union_peak_32949","chr3",52567812,52568126,"union_peak_20484",33
"967","chr8",57406394,57407003,"union_peak_48789","chr8",57406408,57406889,"union_peak_30479",481
"968","chr5",62715458,62715908,"union_peak_39091","chr5",62715314,62715948,"union_peak_24410",450
"969","chr16",24448187,24448931,"union_peak_20968","chr16",24448677,24449049,"union_peak_13000",254
"970","chr11",75945788,75946483,"union_peak_8855","chr11",75945506,75946348,"union_peak_5536",560
"971","chr10",21659372,21660057,"union_peak_4097","chr10",21659213,21660232,"union_peak_2570",685
"972","chr14",25474787,25475068,"union_peak_16247","chr14",25474915,25475223,"union_peak_10061",153
"973","chr1",39024924,39025879,"union_peak_371","chr1",39025042,39025723,"union_peak_243",681
"974","chr12",82333883,82334478,"union_peak_12570","chr12",82333956,82334489,"union_peak_7777",522
"975","chr14",53766214,53766857,"union_peak_16715","chr14",53766131,53766902,"union_peak_10354",643
"976","chr3",84547118,84547641,"union_peak_33359","chr3",84547148,84547819,"union_peak_20755",493
"977","chr17",69412971,69413187,"union_peak_24365","chr17",69412522,69413303,"union_peak_15167",216
"978","chr11",62741094,62741622,"union_peak_8321","chr11",62741211,62741595,"union_peak_5231",384
"979","chr4",88982455,88983093,"union_peak_36220","chr4",88982438,88982946,"union_peak_22638",491
"980","chr13",65100825,65101784,"union_peak_15069","chr13",65101094,65101746,"union_peak_9270",652
"981","chr14",60705124,60705334,"union_peak_17008","chr14",60704986,60705476,"union_peak_10547",210
"982","chr7",25154550,25155027,"union_peak_45099","chr7",25154468,25156435,"union_peak_28227",477
"983","chr11",116218526,116219189,"union_peak_10833","chr11",116218594,116218942,"union_peak_6721",348
"984","chr14",57886136,57886321,"union_peak_16961","chr14",57886054,57886625,"union_peak_10512",185
"985","chr11",114699444,114699972,"union_peak_10693","chr11",114699553,114699962,"union_peak_6632",409
"986","chr7",132686529,132687025,"union_peak_47725","chr7",132686217,132687049,"union_peak_29870",496
"987","chr1",74364175,74364629,"union_peak_1127","chr1",74364281,74364749,"union_peak_744",348
"988","chr11",34489363,34490012,"union_peak_7449","chr11",34489229,34489686,"union_peak_4682",323
"989","chr6",54902611,54902942,"union_peak_42543","chr6",54902470,54902982,"union_peak_26555",331
"990","chr16",10740019,10740322,"union_peak_20568","chr16",10739778,10741564,"union_peak_12764",303
"991","chr2",44342861,44343409,"union_peak_29451","chr2",44342804,44343680,"union_peak_18333",548
"992","chr5",24384533,24384801,"union_peak_38513","chr5",24383263,24384903,"union_peak_24100",268
"993","chr10",98897344,98898117,"union_peak_6038","chr10",98897230,98898303,"union_peak_3793",773
"994","chr2",65337806,65338143,"union_peak_29750","chr2",65337616,65337945,"union_peak_18533",139
"995","chr12",115790363,115791062,"union_peak_13544","chr12",115790170,115790729,"union_peak_8338",366
"996","chr3",95027526,95028165,"union_peak_33746","chr3",95027658,95028991,"union_peak_20992",507
"997","chr9",88539532,88540152,"union_peak_52744","chr9",88539290,88540076,"union_peak_32851",544
"998","chr14",27267829,27268601,"union_peak_16330","chr14",27267749,27268645,"union_peak_10116",772
"999","chr4",7341142,7341675,"union_peak_35155","chr4",7340862,7342169,"union_peak_21919",533
"1000","chr2",22816309,22816532,"union_peak_28665","chr2",22816186,22816593,"union_peak_17857",223
"1001","chr2",18183118,18183571,"union_peak_28578","chr2",18183004,18183418,"union_peak_17794",300
"1002","chr3",104092826,104093264,"union_peak_34137","chr3",104092554,104092905,"union_peak_21254",79
"1003","chr1",95605472,95606103,"union_peak_1703","chr1",95605673,95605946,"union_peak_1061",273
"1004","chr1",13288874,13289382,"union_peak_71","chr1",13288973,13289214,"union_peak_44",241
"1005","chr7",90074470,90074914,"union_peak_46625","chr7",90074087,90075118,"union_peak_29174",444
"1006","chr2",173061473,173061987,"union_peak_32229","chr2",173061854,173062472,"union_peak_20020",133
"1007","chr7",128133752,128133925,"union_peak_47632","chr7",128133651,128134103,"union_peak_29801",173
"1008","chr10",88563716,88564388,"union_peak_5749","chr10",88563616,88564491,"union_peak_3573",672
"1009","chr11",92904086,92904932,"union_peak_9582","chr11",92904255,92904812,"union_peak_5986",557
"1010","chr14",66241284,66241619,"union_peak_17190","chr14",66241096,66241736,"union_peak_10666",335
"1011","chr15",63969184,63969563,"union_peak_18851","chr15",63969036,63969632,"union_peak_11736",379
"1012","chr16",93446994,93447457,"union_peak_22105","chr16",93446668,93447587,"union_peak_13773",463
"1013","chr4",121023879,121024431,"union_peak_36769","chr4",121023847,121024300,"union_peak_22988",421
"1014","chr10",20100832,20101318,"union_peak_4025","chr10",20100781,20101331,"union_peak_2514",486
"1015","chr17",87325296,87325940,"union_peak_24857","chr17",87325299,87325769,"union_peak_15506",470
"1016","chr9",24331631,24332168,"union_peak_51041","chr9",24331233,24332406,"union_peak_31830",537
"1017","chr16",87501339,87501880,"union_peak_21916","chr16",87501478,87501788,"union_peak_13650",310
"1018","chr10",39308038,39308423,"union_peak_4330","chr10",39307965,39308405,"union_peak_2723",367
"1019","chr13",97386523,97387100,"union_peak_15485","chr13",97386030,97387058,"union_peak_9555",535
"1020","chr1",139481071,139481407,"union_peak_2375","chr1",139481384,139481678,"union_peak_1460",23
"1021","chr7",58695699,58696210,"union_peak_45915","chr7",58695512,58696211,"union_peak_28728",511
"1022","chr10",117982500,117983017,"union_peak_6334","chr10",117981217,117983662,"union_peak_3969",517
"1023","chr12",12289593,12290013,"union_peak_11426","chr12",12289593,12290082,"union_peak_7069",420
"1024","chr18",81454884,81455159,"union_peak_26326","chr18",81454837,81455304,"union_peak_16374",275
"1025","chr13",101538199,101538421,"union_peak_15579","chr13",101538001,101538854,"union_peak_9621",222
"1026","chr2",76219576,76219910,"union_peak_30044","chr2",76219597,76219842,"union_peak_18727",245
"1027","chr18",20879636,20880152,"union_peak_25139","chr18",20879584,20880325,"union_peak_15674",516
"1028","chr5",38864674,38865117,"union_peak_38961","chr5",38864451,38865144,"union_peak_24328",443
"1029","chr1",130629636,130630280,"union_peak_1983","chr1",130629616,130630307,"union_peak_1237",644
"1030","chr4",136196112,136196553,"union_peak_37566","chr4",136196144,136196609,"union_peak_23475",409
"1031","chr11",96527790,96528101,"union_peak_9749","chr11",96527568,96528081,"union_peak_6076",291
"1032","chr1",95674016,95674495,"union_peak_1709","chr1",95674015,95675106,"union_peak_1064",479
"1033","chr1",92190450,92190977,"union_peak_1635","chr1",92190277,92191187,"union_peak_1017",527
"1034","chr11",6158961,6160264,"union_peak_6964","chr11",6158797,6159578,"union_peak_4385",617
"1035","chr7",114316494,114316710,"union_peak_47159","chr7",114316242,114318205,"union_peak_29480",216
"1036","chr7",44401792,44401998,"union_peak_45614","chr7",44401940,44402270,"union_peak_28538",58
"1037","chr13",32833004,32833747,"union_peak_14189","chr13",32833019,32833960,"union_peak_8755",728
"1038","chr17",36844165,36844740,"union_peak_23728","chr17",36844014,36844705,"union_peak_14769",540
"1039","chr19",34186803,34187275,"union_peak_27424","chr19",34186470,34187404,"union_peak_17080",472
"1040","chr6",12059727,12060381,"union_peak_41719","chr6",12059957,12060305,"union_peak_26057",348
"1041","chr12",21442640,21442921,"union_peak_11590","chr12",21442901,21443149,"union_peak_7164",20
"1042","chr8",34315197,34315685,"union_peak_48575","chr8",34314495,34315850,"union_peak_30334",488
"1043","chr4",16101646,16103260,"union_peak_35324","chr4",16102623,16103016,"union_peak_22038",393
"1044","chr1",143916449,143916858,"union_peak_2394","chr1",143916324,143917119,"union_peak_1476",409
"1045","chr3",101226914,101227211,"union_peak_34015","chr3",101226878,101227517,"union_peak_21175",297
"1046","chr1",193344788,193345457,"union_peak_3621","chr1",193344823,193345407,"union_peak_2252",584
"1047","chr4",134460283,134460715,"union_peak_37387","chr4",134460224,134460759,"union_peak_23356",432
"1048","chr4",109760511,109761160,"union_peak_36564","chr4",109759016,109761392,"union_peak_22862",649
"1049","chr2",52315881,52316111,"union_peak_29533","chr2",52314700,52316114,"union_peak_18379",230
"1050","chr13",99935126,99935506,"union_peak_15547","chr13",99935110,99935639,"union_peak_9596",380
"1051","chr11",51873047,51873337,"union_peak_7790","chr11",51872878,51873485,"union_peak_4897",290
"1052","chr1",92235340,92236067,"union_peak_1636","chr1",92235300,92236233,"union_peak_1018",727
"1053","chr6",107748731,107749441,"union_peak_43434","chr6",107748585,107749381,"union_peak_27125",650
"1054","chrX",35891803,35892037,"union_peak_54081","chrX",35891502,35892571,"union_peak_33722",234
"1055","chr4",89515872,89516647,"union_peak_36249","chr4",89515799,89516290,"union_peak_22656",418
"1056","chr6",129552430,129552803,"union_peak_44116","chr6",129552217,129552830,"union_peak_27576",373
"1057","chr13",63634127,63634744,"union_peak_15040","chr13",63634018,63634619,"union_peak_9247",492
"1058","chr4",118162138,118162537,"union_peak_36683","chr4",118162217,118162527,"union_peak_22939",310
"1059","chr12",102621297,102621506,"union_peak_13033","chr12",102621169,102621725,"union_peak_8059",209
"1060","chr9",80280802,80281539,"union_peak_52661","chr9",80280981,80283044,"union_peak_32789",558
"1061","chrX",77801488,77802022,"union_peak_54486","chrX",77801336,77802206,"union_peak_33981",534
"1062","chr19",12571844,12572009,"union_peak_27045","chr19",12571585,12572154,"union_peak_16835",165
